serial_no,polling_station_no,polling_station_location,section,parts_covered,all_voters_covered
1,1,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, மேற்பார்வைத்த கிழக்கு கட்டிடம், பைத்தாம்பாடி - 607101",பைத்தாம்பாடி,"1. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) மாரியம்மன்கோயில் தெரு;
2. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) ரோட்டு தெரு;
3. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) சத்திர மாரியம்மன்கோயில் தெரு 1;
4. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) சத்திர மாரியம்மன்கோயில் தெரு 2;
5. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) மெளலவி தெரு",அனைத்து வாக்காளர்கள்
2,2,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, மேற்பார்வைத்த கிழக்கு கட்டிடம், வடக்கு பகுதி, பைத்தாம்பாடி - 607101",பைத்தாம்பாடி,"1. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) பிள்ளையார்கோயில் தெரு;
2. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) மேலமாரியம்மன்கோயில் தெரு;
3. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) பெரியகாலனி சாலை;
4. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) பெரியகாலனி முதல் தெரு;
5. பைத்தாம்பாடி (வ.கி) மற்றும் (ஊ) பெரியகாலனி நடுத்தெரு",அனைத்து வாக்காளர்கள்
3,3,"கிராம சேவை மையம், ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி இணைப்பு, தெற்கு நோக்கிய புதிய கட்டிடம், மேற்கு பகுதி, காவனூர் - 607108",காவனூர்,"1. காவனூர் (வ.கி) மற்றும் (ஊ) மெயின் ரோடு;
2. காவனூர் (வ.கி) மற்றும் (ஊ) அண்ணாதுரை வீதி;
3. காவனூர் (வ.கி) மற்றும் (ஊ) மேட்டுத் தெரு;
4. காவனூர் (வ.கி) மற்றும் (ஊ) ஆற்றங்கரை வீதி",அனைத்து வாக்காளர்கள்
4,4,"ஊராட்சி ஒன்றிய துவக்கப்பள்ளி, வடக்குப்பார்த்த கட்டிடம், கிழக்குபகுதி, உளுந்தாம்பட்டு - 607108",உளுந்தாம்பட்டு,"1. உளுந்தாம்பட்டு (வ.கி) மற்றும் (ஊ) பள்ளிக்கூட வீதி;
2. உளுந்தாம்பட்டு (வ.கி) மற்றும் (ஊ) காவலர் மகாத்மா காந்தி வீதி;
3. காவனூர் (வ.கி) மற்றும் (ஊ) திரௌபதியம்மன் கோவில் வீதி;
4. உளுந்தாம்பட்டு (வ.கி) மற்றும் (ஊ) காவலர் ஆற்றங்கரை வீதி",அனைத்து வாக்காளர்கள்
5,5,"ஊராட்சி ஒன்றிய துவக்கப்பள்ளி, மேற்பார்த்த புதிய கட்டிடம், வடக்கு பகுதி, அவியனூர் - 607101",அவியனூர்,"1. அவியனூர் (வ.கி) மற்றும் (ஊ) ஏரி தெரு;
2. அவியனூர் (வ.கி) மற்றும் (ஊ) கால்வாய் தெரு;
3. அவியனூர் (வ.கி) மற்றும் (ஊ) மெயின் ரோடு;
4. அவியனூர் (வ.கி) மற்றும் (ஊ) போங்குறு;
5. அவியனூர் (வ.கி) மற்றும் (ஊ) கீழத்தெரு",அனைத்து வாக்காளர்கள்
6,6,"ஊராட்சி ஒன்றிய துவக்கப்பள்ளி, வடக்குப்பார்த்த பழைய கட்டிடம், மேற்பகுதி, அவியனூர் - 607101",அவியனூர்,"1. அவியனூர் (வ.கி) மற்றும் (ஊ) வடக்குத்தெரு;
2. அவியனூர் (வ.கி) மற்றும் (ஊ) மேற்தெரு;
3. அவியனூர் (வ.கி) மற்றும் (ஊ) மேற்கு மெயின் ரோடு;
4. அவியனூர் (வ.கி) மற்றும் (ஊ) ராஜவாய்க்கால் கோவில் தெரு",அனைத்து வாக்காளர்கள்
7,7,"ஆதிதிராவிடர் நல துவக்கப்பள்ளி, கிழக்கு பார்த்த பழைய கட்டிடம், அழகுப்பெருமாள்குப்பம் - 607101",அழகுப்பெருமாள்குப்பம்,"1. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) அழகுப்பெருமாள்குப்பம்;
2. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) எஸ்.ஆர் தெரு;
3. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) டேங்க்தெரு;
4. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) நடுத்தெரு",அனைத்து வாக்காளர்கள்
8,8,"அரங்கநாதன் கட்டிடம், கிழக்கு பார்த்த தெற்கு பகுதி, அழகுப்பெருமாள்குப்பம் - 607101",அழகுப்பெருமாள்குப்பம்,"1. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) ரெட்டிக்குப்பம் காலனி;
2. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) ரெட்டிக்குப்பம் காலனி கிழக்கு தெரு;
3. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) ரெட்டிக்குப்பம்",அனைத்து வாக்காளர்கள்
9,9,"ஆதிதிராவிடர் நல துவக்கப்பள்ளி, கிழக்கு பார்த்த மேற்கு பகுதி, அழகுப்பெருமாள்குப்பம் - 607101",அழகுப்பெருமாள்குப்பம்,"1. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) அம்பேத்கார் காலனி;
2. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) பழையகாலனி மேற்கு தெரு",அனைத்து வாக்காளர்கள்
10,10,"கிராம சேவை மையம், தெற்குபார்த்த கட்டிடம், கிழக்கு பகுதி, அழகுப்பெருமாள்குப்பம் - 607101",அழகுப்பெருமாள்குப்பம்,"1. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) அம்பேத்கார் தெரு;
2. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) வடக்கு தெரு;
3. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) கிழக்கு தெரு;
4. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) தெற்கு தெரு;
5. அழகுப்பெருமாள்குப்பம் (வ.கி) மற்றும் (ஊ) வள்ளுவர் தெரு",அனைத்து வாக்காளர்கள்
