district_name,ac_no,ac_name,polling_stations,male,female,third_gender,total
COOCHBEHAR,1,Mekliganj,239,119553,112317,3,231873
COOCHBEHAR,2,Mathabhanga,276,134478,123989,1,258468
COOCHBEHAR,3,COOCHBEHAR UTTAR,307,146356,135240,1,281597
COOCHBEHAR,4,Cooch Behar Dakshin,258,119979,112721,4,232704
COOCHBEHAR,5,Sitalkuchi,310,157007,141699,3,298709
COOCHBEHAR,6,Sitai,300,152548,138873,0,291421
COOCHBEHAR,7,Dinhata,318,150678,141700,0,292378
COOCHBEHAR,8,Natabari,274,127611,121230,9,248850
COOCHBEHAR,9,Tufanganj,255,123940,117478,1,241419
ALIPURDUAR,10,Kumargram,302,138874,130343,2,269219
ALIPURDUAR,11,Kalchini,275,115772,118486,2,234260
ALIPURDUAR,12,Alipurduars,278,127036,122803,7,249846
ALIPURDUAR,13,Falakata,269,129018,121940,5,250963
ALIPURDUAR,14,Madarihat,226,98918,100990,4,199912
JALPAIGURI,15,Dhupguri,263,134272,126572,9,260853
JALPAIGURI,16,Maynaguri,276,137872,128457,0,266329
JALPAIGURI,17,Jalpaiguri,283,128990,126622,4,255616
JALPAIGURI,18,Rajganj,261,124511,117048,1,241560
JALPAIGURI,19,Dabgram-Fulbari,314,144803,142221,6,287030
JALPAIGURI,20,Mal,271,122869,122336,0,245205
JALPAIGURI,21,Nagrakata,260,109823,114497,2,224322
Kalimpong,22,Kalimpong,293,101506,102025,0,203531
DARJEELING,23,Darjeeling,335,108630,110710,2,219342
DARJEELING,24,Kurseong,296,109182,113525,3,222710
DARJEELING,25,Matigara-Naxalbari,328,141961,143209,4,285174
DARJEELING,26,Siliguri,245,103916,104709,18,208643
DARJEELING,27,Phansidewa,261,119291,115480,3,234774
UTTAR DINAJPUR,28,Chopra,261,133295,114756,5,248056
UTTAR DINAJPUR,29,Islampur,238,115701,101947,9,217657
UTTAR DINAJPUR,30,Goalpokhar,236,122516,108331,5,230852
UTTAR DINAJPUR,31,Chakulia,239,121812,107130,3,228945
UTTAR DINAJPUR,32,Karandighi,276,137883,122073,6,259962
UTTAR DINAJPUR,33,Hemtabad,266,140636,124521,5,265162
UTTAR DINAJPUR,34,Kaliaganj,282,145949,133403,13,279365
UTTAR DINAJPUR,35,Raiganj,213,96583,92827,17,189427
UTTAR DINAJPUR,36,Itahar,238,119629,110271,7,229907
DAKSHIN DINAJPUR,37,Kushmandi,229,115687,104539,4,220230
DAKSHIN DINAJPUR,38,Kumarganj,211,104707,97537,4,202248
DAKSHIN DINAJPUR,39,Balurghat,200,87787,86259,14,174060
DAKSHIN DINAJPUR,40,Tapan,234,108550,103262,3,211815
DAKSHIN DINAJPUR,41,Gangarampur,239,111773,104630,11,216414
DAKSHIN DINAJPUR,42,Harirampur,230,115783,110003,11,225797
MALDA,43,Habibpur,252,123458,119489,5,242952
MALDA,44,Gazole,273,135506,130716,4,266226
MALDA,45,Chanchal,248,127066,118463,5,245534
MALDA,46,Harischandrapur,260,134611,121312,3,255926
MALDA,47,Malatipur,245,122275,114253,14,236542
MALDA,48,Ratua,296,146394,131824,9,278227
MALDA,49,Manikchak,261,133861,121108,2,254971
MALDA,50,Maldaha,248,122979,119904,5,242888
MALDA,51,Englishbazar,292,132381,132781,9,265171
MALDA,52,Mothabari,205,104061,98534,9,202604
MALDA,53,Sujapur,264,131156,125113,7,256276
MALDA,54,Baisnabnagar,262,130159,120174,10,250343
MURSHIDABAD,55,Farakka,236,114053,108803,5,222861
MURSHIDABAD,56,Samserganj,247,118427,117610,3,236040
MURSHIDABAD,57,Suti,285,136567,130143,2,266712
MURSHIDABAD,58,Jangipur,275,131763,124497,4,256264
MURSHIDABAD,59,RaghunathGanj,269,130216,120646,0,250862
