district_no,district_name,ac_no,ac_name,male,female,third_gender,total
1,Thiruvallur,1,Gummidipoondi,122195,129372,36,251603
1,Thiruvallur,2,Ponneri,121221,127662,34,248917
1,Thiruvallur,3,Tiruttani,128642,131417,25,260084
1,Thiruvallur,4,Thiruvallur,121188,127426,37,248651
1,Thiruvallur,5,Poonamallee,176849,186769,70,363688
1,Thiruvallur,6,Avadi,209662,219035,75,428772
1,Thiruvallur,7,Maduravoyal,179602,184349,80,364031
1,Thiruvallur,8,Ambattur,162248,168175,57,330480
1,Thiruvallur,9,Madavaram,205922,214596,83,420601
1,Thiruvallur,10,Thiruvottiyur,117181,123289,116,240586
2,Chennai,11,Dr.Radhakrishnan Nagar,93576,102201,79,195856
2,Chennai,12,Perambur,107995,114726,71,222792
2,Chennai,13,Kolathur,99607,107607,37,207251
2,Chennai,14,Villivakkam,76947,82785,32,159764
2,Chennai,15,Thiru-Vi-Ka-Nagar,85724,93008,61,178793
2,Chennai,16,Egmore,65677,69149,53,134879
2,Chennai,17,Royapuram,75870,81004,57,156931
2,Chennai,18,Harbour,58221,58620,55,116896
2,Chennai,19,Chepauk-Thiruvallikeni,79412,84396,58,163866
2,Chennai,20,Thousand Lights,73500,80343,65,153908
2,Chennai,21,Anna Nagar,87325,94029,48,181402
2,Chennai,22,Virugampakkam,95025,101461,50,196536
2,Chennai,23,Saidapet,96950,103685,62,200697
2,Chennai,24,Thiyagarayanagar,74682,80228,33,154943
2,Chennai,25,Mylapore,93017,101691,23,194731
2,Chennai,26,Velachery,102235,109411,45,211691
3,Kancheepuram,28,Alandur,143839,152173,40,296052
3,Kancheepuram,29,Sriperumbudur,181852,194007,62,375921
3,Kancheepuram,36,Uthiramerur,118564,125300,58,243922
3,Kancheepuram,37,Kancheepuram,133825,142437,37,276299
4,Vellore,40,Katpadi,108863,116914,32,225809
4,Vellore,43,Vellore,101554,109460,49,211063
4,Vellore,44,Anaikattu,113833,120863,42,234738
4,Vellore,45,Kilvaithinankuppam,104458,108985,8,213451
4,Vellore,46,Gudiyattam,120946,127547,33,248526
5,Krishnagiri,51,Uthangarai,116918,116541,41,233500
5,Krishnagiri,52,Bargur,117135,120197,17,237349
5,Krishnagiri,53,Krishnagiri,129777,135200,60,265037
5,Krishnagiri,54,Veppanahalli,123389,120449,37,243875
5,Krishnagiri,55,Hosur,169099,169124,72,338295
5,Krishnagiri,56,Thalli,120000,115947,37,235984
6,Dharmapuri,57,Palacodu,119611,117845,20,237476
6,Dharmapuri,58,Pennagaram,126763,119521,9,246293
6,Dharmapuri,59,Dharmapuri,129393,128464,82,257939
6,Dharmapuri,60,Pappireddipatti,127427,127217,14,254658
6,Dharmapuri,61,Harur,121453,122264,25,243742
7,Tiruvannamalai,62,Chengam,132571,134045,13,266629
7,Tiruvannamalai,63,Tiruvannamalai,119784,127477,48,247309
7,Tiruvannamalai,64,Kilpennathur,117840,121058,15,238913
7,Tiruvannamalai,65,Kalasapakkam,114155,116592,19,230766
7,Tiruvannamalai,66,Polur,114221,118196,9,232426
7,Tiruvannamalai,67,Arani,123335,129650,37,253022
7,Tiruvannamalai,68,Cheyyar,117159,121115,9,238283
7,Tiruvannamalai,69,Vandavasi,104662,107144,5,211811
8,Viluppuram,70,Gingee,119278,121651,28,240957
8,Viluppuram,71,Mailam,103451,104195,19,207665
8,Viluppuram,72,Tindivanam,106762,110836,11,217609
8,Viluppuram,73,Vanur,101938,106030,16,207984
8,Viluppuram,74,Viluppuram,118786,125218,76,244080
8,Viluppuram,75,Vikravandi,112050,115276,29,227355
8,Viluppuram,76,Tirukkoyilur,121023,119948,32,241003
9,Salem,81,Gangavalli,105720,111067,7,216794
9,Salem,82,Attur,109943,116517,21,226481
